wavelength / nm,fluorescence / counts
548.39999999999998,26673.833000000002
548.52999999999997,26883.333000000002
548.64999999999998,27143.833000000002
548.76999999999998,27325.833000000002
548.89999999999998,27421.083000000002
549.01999999999998,27559.583000000002
549.14999999999998,27725.333000000002
549.26999999999998,27844.083000000002
549.38999999999999,28021.583000000002
549.51999999999998,28216.583000000002
549.63999999999999,28346.333000000002
549.76999999999998,28474.833000000002
549.88999999999999,28660.583000000002
550.00999999999999,28784.333000000002
550.13999999999999,28788.083000000002
550.25999999999999,28874.083000000002
550.38,29063.333000000002
550.50999999999999,29229.583000000002
550.63,29407.833000000002
550.75999999999999,29569.333000000002
550.88,29626.833000000002
551.0,29727.333000000002
551.13,29863.583000000002
551.25,29924.333000000002
551.37,30006.083000000002
551.5,30127.833000000002
551.62,30295.583000000002
551.75,30441.083000000002
551.87,30463.333000000002
551.99000000000001,30564.833000000002
552.12,30824.833000000002
552.24000000000001,30977.083000000002
552.36000000000001,30994.083000000002
552.49000000000001,31063.083000000002
552.61000000000001,31186.333000000002
552.73000000000002,31305.833000000002
552.86000000000001,31393.583000000002
552.98000000000002,31477.333000000002
553.10000000000002,31544.833000000002
553.23000000000002,31535.333000000002
553.35000000000002,31647.583000000002
553.47000000000003,31897.833000000002
553.60000000000002,32019.083000000002
553.72000000000003,32067.333000000002
553.84000000000003,32110.583000000002
553.97000000000003,32106.333000000002
554.09000000000003,32173.083000000002
554.21000000000004,32316.083000000002
554.34000000000003,32421.583000000002
554.46000000000004,32532.333000000002
554.58000000000004,32658.333000000002
554.71000000000004,32673.583000000002
554.83000000000004,32656.083000000002
554.95000000000005,32696.583000000002
555.08000000000004,32765.082999999999
555.20000000000005,32866.082999999999
555.32000000000005,32936.082999999999
555.45000000000005,32998.082999999999
555.57000000000005,33101.332999999999
555.69000000000005,33151.832999999999
555.82000000000005,33111.832999999999
555.94000000000005,33121.082999999999
556.05999999999995,33248.082999999999
556.19000000000005,33361.832999999999
556.30999999999995,33436.582999999999
556.42999999999995,33516.082999999999
